Country Name,Country Code,Series Name,Series Code,1982 [YR1982],2012 [YR2012]
United States,USA,"Population, total",SP.POP.TOTL,231664000,314112078
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,14438.97628,51456.65873
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.36097561,78.74146341
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12667001,29726803
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,690.842629
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.23073171,59.67960976
Albania,ALB,"Population, total",SP.POP.TOTL,2784278,2900489
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,4247.485437
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.68512195,77.44397561
Algeria,DZA,"Population, total",SP.POP.TOTL,20575701,37439427
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2197.110595,5583.61616
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.78634146,74.32409756
American Samoa,ASM,"Population, total",SP.POP.TOTL,34740,55227
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..
Andorra,ADO,"Population, total",SP.POP.TOTL,39112,79316
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,9611.239684,39666.36921
Andorra,ADO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,8807511,22685632
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,5531.776299
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.408,51.464
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,68950,89069
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000.751986,13525.61622
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.14092683,75.62180488
Arab World,ARB,"Population, total",SP.POP.TOTL,175134529,368914383
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,1843.867356,7502.728436
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.79521538,70.15865972
Argentina,ARG,"Population, total",SP.POP.TOTL,28993989,42095224
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2907.757426,14357.41159
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.03531707,75.8162439
Armenia,ARM,"Population, total",SP.POP.TOTL,3192877,2978339
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,3565.517575
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.5355122,74.45209756
Aruba,ABW,"Population, total",SP.POP.TOTL,61344,102393
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.67319512,75.2057561
Australia,AUS,"Population, total",SP.POP.TOTL,15178000,22728254
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,12758.67103,67646.10385
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.90487805,82.04634146
Austria,AUT,"Population, total",SP.POP.TOTL,7574140,8429991
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,9387.677728,48324.25404
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.96097561,80.93658537
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6362289,9295784
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,7393.771877
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.83073171,70.62395122
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,220275,372388
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,7165.134491,22112.60835
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.92968293,74.91446341
Bahrain,BHR,"Population, total",SP.POP.TOTL,385950,1333577
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,9446.158325,23063.13229
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.53736585,76.40763415
Bangladesh,BGD,"Population, total",SP.POP.TOTL,85868228,155257387
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,215.7421858,858.9333626
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.30307317,70.86026829
Barbados,BRB,"Population, total",SP.POP.TOTL,253836,281580
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,4585.337698,15317.139
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.14368293,75.17102439
Belarus,BLR,"Population, total",SP.POP.TOTL,9776000,9464000
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,6721.834908
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.90821951,71.96585366
Belgium,BEL,"Population, total",SP.POP.TOTL,9856303,11128246
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,9393.885569,44731.21948
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.88804878,80.38536585
Belize,BLZ,"Population, total",SP.POP.TOTL,151498,336707
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1183.183936,4674.293377
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.26426829,69.90514634
Benin,BEN,"Population, total",SP.POP.TOTL,3931355,10049792
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,322.4788073,807.688451
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.15034146,59.12197561
Bermuda,BMU,"Population, total",SP.POP.TOTL,55449,64798
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,14166.17129,85458.45551
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,81.67780488
Bhutan,BTN,"Population, total",SP.POP.TOTL,434385,743711
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,342.8625161,2452.151588
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.4472439,68.72290244
Bolivia,BOL,"Population, total",SP.POP.TOTL,5835186,10238762
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,958.6872467,2645.290274
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.96809756,67.44546341
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4226663,3828419
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,..,4494.640812
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.63717073,76.12017073
Botswana,BWA,"Population, total",SP.POP.TOTL,1069962,2132822
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,948.5812214,6935.593653
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.48143902,64.22273171
Brazil,BRA,"Population, total",SP.POP.TOTL,128054757,202401584
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2199.701993,12157.30822
