Country Name,GDP per capita (current US$),"Life expectancy at birth, total (years)","Population, total"
Algeria,5583.61616,74.32409756,37439427
Antigua and Barbuda,13525.61622,75.62180488,89069
Arab World,7502.728436,70.15865972,368914383
Argentina,14357.41159,75.8162439,42095224
Australia,67646.10385,82.04634146,22728254
Austria,48324.25404,80.93658537,8429991
"Bahamas, The",22112.60835,74.91446341,372388
Bahrain,23063.13229,76.40763415,1333577
Bangladesh,858.9333626,70.86026829,155257387
Barbados,15317.139,75.17102439,281580
Belgium,44731.21948,80.38536585,11128246
Belize,4674.293377,69.90514634,336707
Benin,807.688451,59.12197561,10049792
Bhutan,2452.151588,68.72290244,743711
Bolivia,2645.290274,67.44546341,10238762
Botswana,6935.593653,64.22273171,2132822
Brazil,12157.30822,73.83958537,202401584
Brunei Darussalam,41807.65334,78.25258537,405512
Bulgaria,7333.355073,74.31463415,7305888
Burkina Faso,673.0267834,57.87931707,16590813
Burundi,244.1964862,55.78929268,10124572
Cabo Verde,3497.691141,72.82821951,500870
Cameroon,1222.192142,54.5875122,21659488
Canada,52737.77716,81.56243902,34751476
Caribbean small states,9586.922894,72.54548474,6937108
Central African Republic,469.6842871,49.10529268,4619500
Chad,972.6793451,50.78139024,12715465
Chile,15253.33083,80.89485366,17388437
China,6264.643878,75.39292683,1350695000
Colombia,7885.061292,73.63078049,46881018
Comoros,750.3146086,62.58297561,733661
"Congo, Dem. Rep.",390.7066035,57.85407317,70291160
"Congo, Rep.",3191.164299,60.92390244,4286188
Costa Rica,9733.396931,79.05353659,4654148
Cote d'Ivoire,1281.382865,50.86334146,21102641
Cuba,6448.155635,79.14160976,11342631
Cyprus,28868.27382,79.76226829,1129303
Denmark,57636.12531,80.05121951,5591572
Dominican Republic,5967.000984,73.13531707,10155036
East Asia & Pacific (all income levels),9239.313389,74.55052169,2233925733
East Asia & Pacific (developing only),5346.713375,73.6222531,1991783241
Ecuador,5702.168288,75.433,15419493
"Egypt, Arab Rep.",3226.131379,70.72914634,85660902
El Salvador,3921.720395,72.23185366,6072233
Equatorial Guinea,23278.23006,56.89026829,773729
Ethiopia,469.7923039,62.79353659,92191211
Euro area,37591.9339,81.31221587,336141722
Europe & Central Asia (all income levels),24610.65682,76.55972526,894249380
European Union,34150.71092,80.30779516,505078760
Fiji,4550.267095,69.74321951,874158
Finland,47415.55987,80.62682927,5413971
France,40850.35237,81.96829268,65639975
Gabon,10642.43225,63.28073171,1613489
"Gambia, The",504.9890138,59.77814634,1807108
Germany,44010.93139,80.89268293,80425823
Ghana,1641.825922,60.97702439,25544565
Greece,22242.68193,80.63414634,11045011
Greenland,41471.65588,71.30926829,56810
Grenada,7583.546304,73.00226829,105476
Guatemala,3278.629083,71.24939024,15368759
Guinea-Bissau,559.224752,54.5035122,1714620
Guyana,3759.377095,66.21726829,758410
Heavily indebted poor countries (HIPC),829.9393986,59.79812482,664163813
High income,37328.5856,78.93258483,1382426109
High income: OECD,42925.02743,80.54593588,1059077354
High income: nonOECD,19099.99651,73.63877092,323348755
Honduras,2395.073442,72.75502439,7736131
"Hong Kong SAR, China",36707.77423,83.4804878,7154600
Iceland,44258.84279,82.91707317,320716
India,1449.664875,67.28987805,1263589639
Indonesia,3700.523538,68.51956098,248037853
"Iran, Islamic Rep.",7710.513314,74.79934146,76156975
Iraq,6649.248156,68.94973171,32780975
Ireland,48976.92975,80.89512195,4586897
Israel,32818.85838,81.70487805,7910500
Italy,34844.49809,82.23902439,59539717
Jamaica,5445.894718,75.29982927,2707805
Japan,46679.26543,83.09609756,127561489
Jordan,4896.688447,73.74641463,6318000
Kenya,1184.923256,60.27278049,42542978
Kiribati,1641.197419,65.59607317,106620
"Korea, Rep.",24453.97191,81.21341463,50004441
Kuwait,50903.9046,74.35185366,3419581
Latin America & Caribbean (all income levels),10070.43718,74.48755315,612617659
Latin America & Caribbean (developing only),9156.44123,74.15740609,513587153
Least developed countries: UN classification,864.114732,62.33010211,888606627
Lesotho,1158.804222,48.836,2057331
Liberia,414.1851554,60.20436585,4190155
Low & middle income,3970.669537,69.08370817,5706299280
Low income,580.7538715,60.25992568,589368162
Lower middle income,1891.982644,66.66334194,2793168923
Luxembourg,105447.0932,81.39268293,530946
"Macao SAR, China",77078.82118,80.12317073,557763
Madagascar,444.9584938,64.24665854,22293720
Malawi,270.0875313,60.05029268,15700436
Malaysia,10834.65908,74.42331707,29021940
Maldives,6529.978071,76.46234146,385000
Mali,641.7938201,57.095,16112333
Malta,21176.30998,80.74634146,419455
Mauritania,1282.785101,62.56017073,3777067
Mauritius,9113.640643,73.86341463,1255882
Mexico,9703.371017,76.35409756,122070963
Middle East & North Africa (all income levels),8849.731658,72.43953027,401144535
Middle income,4360.630884,70.10007325,5116931118
Mongolia,4377.23887,68.6135122,2808339
Morocco,2931.4002,73.36465854,32984190
Mozambique,564.8124631,54.21212195,25732928
Namibia,5679.958215,63.88114634,2291645
Nepal,685.4967586,68.82331707,27500515
Netherlands,49474.70561,81.10487805,16754962
New Zealand,39504.96094,81.15609756,4408100
Nicaragua,1779.867088,74.21246341,5877034
Niger,393.643423,60.07253659,17635782
Nigeria,2739.852189,52.105,168240403
North America,51590.56589,79.02296343,348928352
Norway,101563.7027,81.45121951,5018573
OECD members,37788.79058,79.78946045,1255247572
Oman,21533.8076,76.58956098,3545192
Other small states,4887.07327,61.7378002,20130977
Pacific island small states,3537.281329,69.53548143,2257903
Pakistan,1266.380758,65.71687805,177392252
Panama,10138.52113,77.23704878,3743761
Papua New Guinea,2151.210277,62.29990244,7154870
Paraguay,3858.036492,72.654,6379162
Peru,6388.845098,74.05765854,30158768
Philippines,2604.655997,68.00707317,96017322
Portugal,20577.40264,80.37317073,10514844
Puerto Rico,27752.04274,78.92541463,3642281
Qatar,94407.40692,78.22765854,2015624
Rwanda,667.4145823,62.79936585,10817350
Samoa,4257.060935,72.98004878,188901
Saudi Arabia,24883.18971,74.01602439,29496047
Senegal,1019.27223,65.31887805,13780108
Seychelles,12844.85853,74.22682927,88303
Sierra Leone,618.9472529,49.74909756,6043157
Singapore,54576.75725,81.99512195,5312437
Small states,5894.905134,64.84853809,29325988
Solomon Islands,1866.707246,67.50658537,549162
South Africa,7592.157997,56.09831707,52341695
South Asia,1374.278853,67.43538543,1675019307
Spain,28647.83524,82.42682927,46773055
Sri Lanka,3350.686574,74.5312439,20424000
St. Lucia,7248.234505,74.77763415,180890
St. Vincent and the Grenadines,6337.770112,72.67185366,109334
Sub-Saharan Africa (all income levels),1714.657976,57.54621094,922840423
Sub-Saharan Africa (developing only),1695.360137,57.54516382,921978391
Sudan,1662.287641,62.83219512,37712420
Suriname,9422.270994,70.80631707,528535
Swaziland,3988.667162,48.85063415,1231694
Sweden,57134.07707,81.70487805,9519374
Switzerland,83208.68654,82.69756098,7996861
Thailand,5917.917934,74.07190244,67164130
Togo,580.4950618,58.55385366,6745581
Tonga,4364.309244,72.488,104769
Trinidad and Tobago,18322.3238,70.15139024,1341579
Tunisia,4187.543531,73.99512195,10777500
Turkey,10646.03553,74.63680488,74099255
Uganda,656.3980727,57.10019512,35400620
United Arab Emirates,41712.12421,77.02414634,8952542
United Kingdom,41294.5148,80.90487805,63700300
United States,51456.65873,78.74146341,314112078
Upper middle income,7324.642781,74.23140797,2323762195
Uruguay,15127.64415,76.68839024,3396753
Vanuatu,3158.420974,71.40817073,247498
"Venezuela, RB",12771.59504,73.92573171,29854238
World,10470.34151,71.00381752,7088725389
Zambia,1686.618024,58.36331707,14786581
Zimbabwe,850.827694,53.64307317,14565482
