Country Name,GDP per capita (current US$),"Life expectancy at birth, total (years)","Population, total"
Algeria,2197.110595,60.78634146,20575701
Antigua and Barbuda,2000.751986,69.14092683,68950
Arab World,1843.867356,59.79521538,175134529
Argentina,2907.757426,70.03531707,28993989
Australia,12758.67103,74.90487805,15178000
Austria,9387.677728,72.96097561,7574140
"Bahamas, The",7165.134491,68.92968293,220275
Bahrain,9446.158325,70.53736585,385950
Bangladesh,215.7421858,54.30307317,85868228
Barbados,4585.337698,69.14368293,253836
Belgium,9393.885569,73.88804878,9856303
Belize,1183.183936,70.26426829,151498
Benin,322.4788073,48.15034146,3931355
Bhutan,342.8625161,46.4472439,434385
Bolivia,958.6872467,50.96809756,5835186
Botswana,948.5812214,61.48143902,1069962
Brazil,2199.701993,62.6022439,128054757
Brunei Darussalam,20795.04312,70.91936585,205061
Bulgaria,2220.823169,71.18609756,8917457
Burkina Faso,245.0946289,47.74963415,7158256
Burundi,232.4372253,47.93858537,4359122
Cabo Verde,474.9899808,61.8894878,296071
Cameroon,772.4072578,51.98197561,9480638
Canada,12437.62509,75.6804878,25202000
Caribbean small states,2928.952734,68.74464671,5599100
Central African Republic,310.2850949,49.50765854,2411693
Chad,176.9204718,45.24080488,4716073
Chile,2103.823804,68.91985366,11569135
China,201.808024,67.3077561,1008630000
Colombia,1342.467611,66.52007317,29027158
Comoros,326.1395828,51.90312195,328355
"Congo, Dem. Rep.",492.1097362,46.88036585,27741104
"Congo, Rep.",1130.751814,56.42917073,1910800
Costa Rica,1033.896359,73.22334146,2521163
Cote d'Ivoire,840.5659442,51.60290244,9002400
Cuba,2111.053464,74.20326829,9925618
Cyprus,4122.784499,75.1407561,691711
Denmark,11707.41026,74.55121951,5117810
Dominican Republic,1310.1236,63.86282927,6078816
East Asia & Pacific (all income levels),1211.716056,66.88529519,1607541515
East Asia & Pacific (developing only),301.5496415,65.82347819,1404321928
Ecuador,2374.598823,64.28543902,8392935
"Egypt, Arab Rep.",561.1077421,59.65717073,45610430
El Salvador,719.8206922,57.19753659,4722272
Equatorial Guinea,176.261327,45.03936585,251301
Ethiopia,207.7008446,43.70787805,37109517
Euro area,8177.498585,74.15401422,304270836
Europe & Central Asia (all income levels),4851.592803,70.76184293,803857676
European Union,7034.358172,73.46395216,467346238
Fiji,1786.923962,63.57817073,668196
Finland,10945.27734,74.29804878,4826933
France,10505.73547,74.5,55858727
Gabon,4717.907857,56.65139024,766867
"Gambia, The",333.3089006,47.92229268,648202
Germany,9876.228232,73.23097561,78333366
Ghana,351.3192057,52.91043902,11488112
Greece,5579.234772,74.27802439,9789513
Greenland,7813.651595,63.19268293,51500
Grenada,1022.97352,66.83558537,93091
Guatemala,1161.0033,58.08595122,7508161
Guinea-Bissau,186.9972802,46.32973171,885166
Guyana,613.6484584,62.80790244,785466
Heavily indebted poor countries (HIPC),374.8999113,47.99709461,285410524
High income,8277.151286,72.91718036,1133283587
High income: OECD,9658.653693,74.0889415,883588067
High income: nonOECD,4138.510771,68.76278296,249695520
Honduras,750.5889027,61.21207317,3868296
"Hong Kong SAR, China",6133.784079,75.42926829,5264500
Iceland,13823.67322,77.03780488,233860
India,279.6568514,54.74460976,730303461
Indonesia,613.0182695,60.43946341,154506266
"Iran, Islamic Rep.",3008.638599,53.89909756,41862373
Iraq,2950.291594,60.052,14437661
Ireland,6167.559799,73.00378049,3485800
Israel,6095.934683,74.1097561,4031000
Italy,7534.341954,74.81463415,56543548
Jamaica,1496.97574,71.86612195,2200100
Japan,9428.87465,76.92292683,118449000
Jordan,1983.542191,67.1247561,2359755
Kenya,366.2676918,58.7997561,17559778
Kiribati,486.8707877,57.23378049,60918
"Korea, Rep.",2075.941819,66.78414634,39326352
Kuwait,14206.19711,70.38314634,1518855
Latin America & Caribbean (all income levels),2189.594496,65.00411917,380466998
Latin America & Caribbean (developing only),1924.844406,64.04522486,315432096
Least developed countries: UN classification,280.8540834,49.06187862,413495920
Lesotho,237.9457081,54.80468293,1374044
Liberia,424.2609603,46.80007317,2036325
Low & middle income,564.5625051,60.36057653,3462154612
Low income,301.8462224,47.67417761,263493720
Lower middle income,430.4094017,56.86288068,1577970025
Luxembourg,13164.73444,72.65346341,365525
"Macao SAR, China",3915.571067,73.07812195,260921
Madagascar,382.4222399,49.46563415,9220693
Malawi,182.0129773,45.15982927,6483571
Malaysia,1843.039431,68.65946341,14543585
Maldives,282.2062969,54.89773171,169861
Mali,180.5623382,41.17702439,7386669
Malta,3787.917514,73.3987561,325898
Mauritania,461.8665222,55.40704878,1624310
Mauritius,1091.094699,67.76536585,992521
Mexico,2394.564422,67.49592683,72547995
Middle East & North Africa (all income levels),2068.836467,59.78662485,197659182
Middle income,588.7313493,61.40810029,3198660892
Mongolia,1435.767097,57.28568293,1777727
Morocco,804.7399782,59.09173171,21070647
Mozambique,288.9309671,41.66168293,12511864
Namibia,2013.761505,58.60246341,1056758
Nepal,153.5921625,47.90217073,15596012
Netherlands,10931.33842,75.98853659,14312690
New Zealand,7656.46634,73.72439024,3156100
Nicaragua,714.4463927,59.26656098,3435527
Niger,320.2893092,40.40641463,6299343
Nigeria,661.2323763,46.0835122,77729802
North America,14242.60038,74.49043746,256921449
Norway,15224.89391,76.01097561,4114787
OECD members,8754.263946,72.96251045,1002134002
Oman,5856.339798,61.51719512,1290007
Other small states,992.5133172,55.87059293,10642979
Pacific island small states,1284.041656,62.23090807,1480475
Pakistan,368.2953957,57.6824878,83427522
Panama,2297.540874,70.93546341,2073826
Papua New Guinea,697.5046718,54.05812195,3395798
Paraguay,1505.156642,66.98378049,3366726
Peru,1164.096725,61.24970732,18225727
Philippines,741.7871375,62.73241463,50068493
Portugal,3080.252695,72.41463415,9911771
Puerto Rico,5115.008514,73.90858537,3277453
Qatar,27400.9818,73.36697561,277242
Rwanda,256.4951847,49.71926829,5486431
Samoa,770.1262421,60.9665122,157401
Saudi Arabia,13624.77634,64.65878049,11247085
Senegal,528.1148209,50.93314634,5888261
Seychelles,2248.587257,68.68292683,65780
Sierra Leone,401.7440702,40.87036585,3224346
Singapore,6075.624157,72.68780488,2646466
Small states,1638.663092,60.46380647,17722554
Solomon Islands,764.4809862,58.6787561,246502
South Africa,2764.184855,58.16719512,28971839
South Asia,277.4772354,54.92168461,943662470
Spain,5151.553993,76.13414634,37942805
Sri Lanka,313.817124,68.96231707,15196000
St. Lucia,1185.215735,69.6574878,121150
St. Vincent and the Grenadines,1113.081949,68.07292683,102202
Sub-Saharan Africa (all income levels),629.8366495,48.7781214,405328909
Sub-Saharan Africa (developing only),629.8872958,48.77720838,405011828
Sudan,451.9286475,54.42478049,15470415
Suriname,2514.196702,66.4704878,363993
Swaziland,840.8265208,55.5675122,639333
Sweden,13545.25912,76.32731707,8325263
Switzerland,17434.88509,76.03390244,6391309
Thailand,742.7043325,65.64729268,49265597
Togo,281.8560282,53.32965854,2915148
Tonga,662.5338756,68.0494878,93683
Trinidad and Tobago,7264.272444,67.28126829,1120610
Tunisia,1208.69722,63.80365854,6729178
Turkey,1403.243984,59.94646341,45997940
Uganda,163.4986964,48.8025122,13318149
United Arab Emirates,40244.83745,68.88409756,1158477
United Kingdom,9146.077357,74.17804878,56313641
United States,14438.97628,74.36097561,231664000
Upper middle income,747.2878644,65.85416399,1620690867
Uruguay,3106.949597,70.83160976,2954281
Vanuatu,808.2205307,59.66487805,121433
"Venezuela, RB",4738.301334,68.64453659,16185895
World,2468.59825,63.46126689,4595438199
Zambia,609.3789722,50.786,6352561
Zimbabwe,1084.211762,60.6055122,7876414
